"_id","Name","Direction","FarEndPoint","StartPoint","EndPoint","EstimatedTime","CreateDate"
"110185401","TPE",1,"CTE/SLE","LOR HALUS","PUNGGOL RD",2,1455722170653
"110185402","TPE",1,"CTE/SLE","PUNGGOL RD","SENGKANG EXIT",1,1455722170660
"110185403","TPE",1,"CTE/SLE","SENGKANG EXIT","JALAN KAYU",2,1455722170663
"110185404","TPE",1,"CTE/SLE","JALAN KAYU","SLE/CTE/TPE INTERCHANGE",1,1455722170670
"110185405","TPE",2,"PIE","SLE/CTE/TPE INTERCHANGE","JALAN KAYU",1,1455722170677
"110185406","TPE",2,"PIE","JALAN KAYU","SENGKANG EXIT",2,1455722170683
"110185407","TPE",2,"PIE","SENGKANG EXIT","PUNGGOL RD",1,1455722170690
"110185408","TPE",2,"PIE","PUNGGOL RD","LOR HARUS",2,1455722170693
"110185409","TPE",2,"PIE","LOR HARUS","PASIR RIS DRIVE 12",2,1455722170700
"110185410","TPE",2,"PIE","PASIR RIS DRIVE 12","ELIAS ROAD",1,1455722170707
"110185411","TPE",2,"PIE","ELIAS ROAD","PASIR RIS DRIVE 8",1,1455722170710
"110185412","TPE",2,"PIE","PASIR RIS DRIVE 8","TAMPINES AVE 7",2,1455722170717
"110185413","TPE",2,"PIE","TAMPINES AVE 7","LOYANG AVE",1,1455722170737
"110185414","TPE",2,"PIE","LOYANG AVE","PIE/TPE INTERCHANGE",1,1455722170753
